,Tweets,Tweets_ID,Date,Source,Likes_no,Retweets_no
0,"TikTok confirms that China-based employees can access US user data, but only through an 'approval process' https://t.co/MO5PDv1AYL",1545780744881987584,2022-07-09 14:43:43+00:00,Twitter Web App,0,0
1,"TikTok confirms that China-based employees can access US user data, but only through an 'approval process' https://t.co/mAm2WKIBYn",1544096686267633666,2022-07-04 23:11:52+00:00,Twitter for iPhone,0,0
2,TikTok Confirms US User Data Can Be Accessed in China https://t.co/7WtvvdtkjC,1543969969427341317,2022-07-04 14:48:20+00:00,Twitter for iPhone,0,0
3,"TikTok CEO Says Employees in China Will Have Access to Only ‘Narrow, Non-Sensitive’ U.S. User Data https://t.co/28MBts1jVx",1543929609674260484,2022-07-04 12:07:58+00:00,Twitter Web App,19,3
4,"TikTok confirms that China-based employees can access US user data, but only through an 'approval process'
https://t.co/bVkY10PFgd #SocialMedia #DataPrivacy #Cybersecurity",1543923397423415296,2022-07-04 11:43:17+00:00,Agorapulse app,0,0
5,TikTok Confirms US User Data Can Be Accessed in China https://t.co/Z4ZpHSbp6C,1543893694452998144,2022-07-04 09:45:15+00:00,Twitter for iPhone,0,0
6,"Don’t worry, world! There’s an approval process. #MCO335 https://t.co/gYYYgCndeb",1543764130850492416,2022-07-04 01:10:25+00:00,Twitter for iPhone,0,0
7,"Does this really surprise anyone? Come on...
https://t.co/rFCSLEfAiN",1543688409457127424,2022-07-03 20:09:31+00:00,Twitter Web App,0,0
8,Does Business Insider have stock in Meta??? https://t.co/Rqg8NU2rCq,1543655553087389696,2022-07-03 17:58:58+00:00,Twitter for iPhone,0,0
9,TikTok Confirms US User Data Can Be Accessed in China https://t.co/DY6MemVFip,1543546165425487872,2022-07-03 10:44:18+00:00,Twitter for iPhone,0,0
10,"TikTok confirms that China-based employees can access US user data, but only through an 'approval process'

https://t.co/5y7FMuz0wp",1543477529016553472,2022-07-03 06:11:34+00:00,Twitter for Android,0,0
11,"Naw, really?
https://t.co/KG2UfB4yEY",1543457754139860992,2022-07-03 04:52:59+00:00,Twitter Web App,0,0
12,TikTok Confirms US User Data Can Be Accessed in China https://t.co/yTytS2BHmt,1543436700847771648,2022-07-03 03:29:19+00:00,Twitter for iPhone,1,0
13,"TikTok confirmed that China-based employees of its Chinese parent company, ByteDance, have access to US user data under certain circumstances in a letter obtained by The New York Times responding to nine Republican senators' inquiries about the matter. https://t.co/YqhqyX3iET",1543415120550055936,2022-07-03 02:03:34+00:00,Twitter Web App,1,2
14,"TikTok confirms that China-based employees can access US user data, but only through an 'approval process' https://t.co/ROqs43JoWh",1543368669333528579,2022-07-02 22:58:59+00:00,Twitter Web App,0,0
15,TikTok should implement sovereign cloud in the US just like US cloud service providers do in China. 😆 https://t.co/9s3gHTZmGl,1543350361678684160,2022-07-02 21:46:14+00:00,Twitter for iPhone,0,0
16,"#TikTok confirms that China-based employees can access US user data, but only through an 'approval process' via https://t.co/dOi5ef2SeU https://t.co/p5l4L3mARS",1543328080680275968,2022-07-02 20:17:42+00:00,organiZm :: Network,0,0
17,"Why on earth has Tik Tok not been blocked by the US Government. China is our enemy and can use the Data against us. DATA IS A WEAPON! MUST BE A US TECH COMPANY that can provide a similar platform. CRAZY STUPID! STOP TIK TOK NOW!
https://t.co/bKIac28kDz",1543325513522876416,2022-07-02 20:07:30+00:00,Twitter for Android,2,2
18,"China: Can i have as look this user..
Tiktok US: Approved!

TikTok confirms that China-based employees can access US user data, but only through an 'approval process'

https://t.co/p6Pn9Hr8OI",1543274937099493376,2022-07-02 16:46:32+00:00,Twitter for Android,0,0
19,"TikTok confirms that China-based employees can access US user data, but only through an 'approval process' 

#softpaywall #news

https://t.co/p1GZaqiqyD",1543267771513016322,2022-07-02 16:18:03+00:00,pfff_shop,0,0
20,"@tiktok_us is also spying on people who do not have the app but are connected to  people who have the app on their phone
https://t.co/vKUvtLZcjR",1543259369231589376,2022-07-02 15:44:40+00:00,Twitter for Android,0,0
21,TikTok confirms US user data can be accessed in China #tiktok  https://t.co/kjS5IKt73n,1543250521796104192,2022-07-02 15:09:31+00:00,Twitter for iPhone,0,0
22,TikTok Confirms US User Data Can Be Accessed in China https://t.co/lk5ADaB3Vi,1543245593396805632,2022-07-02 14:49:56+00:00,Twitter for iPhone,3,1
