,Tweets,Tweets_ID,Date,Source,Likes_no,Retweets_no
0,RT @JM_Goldstein: Time to put eyestalks on grandma. Submit your @TikTok_US Effect House Dungeons &amp; Dragons: Honor Among Thieves Challenge f…,1545200850670260225,2022-07-08 00:19:25+00:00,Twitter Web App,0,14
1,fill in the blank: #TikTokTaughtMe the best hack for ___,1545107346405335040,2022-07-07 18:07:52+00:00,Sprinklr Publishing,100,9
2,"fill in the blank:
i was today years old when I learned ___ on TikTok #TikTokTaughtMe",1544441239038177282,2022-07-05 22:01:00+00:00,Sprinklr Publishing,109,8
3,"RT @TikTokComms: We're bringing back summer reading like it's never been done before! Starting today, we're encouraging our community to di…",1542245630130565120,2022-06-29 20:36:26+00:00,Twitter Web App,0,19
4,"every main character needs an effect with sound. now you can make your own in #EffectHouse! 

check out the latest… https://t.co/d9wQUdZUdP",1541889404318384134,2022-06-28 21:00:55+00:00,Sprinklr Publishing,88,15
5,Imagine a goal so good the puck doesn’t even leave the net https://t.co/5f6BG0SWr6,1541530973623398400,2022-06-27 21:16:39+00:00,Twitter Web App,73,4
6,"✍️ ""you don’t need millions of followers to be seen or heard, you just need to be yourself""✍️- @v_ness
@VidCon… https://t.co/3PM818krnF",1540858551534362624,2022-06-26 00:44:41+00:00,Twitter Web App,119,14
7,RT @tiktokcreators: Look who stopped by the #TikTokVidCon Creator Atrium! Congratulations to @KhabyLame on all your accomplishments 👑 https…,1540858219026780160,2022-06-26 00:43:21+00:00,Twitter Web App,0,14
8,RT @TikTokComms: https://t.co/chUiSUxKP5,1540430805029179392,2022-06-24 20:24:58+00:00,Twitter Web App,0,57
9,"RT @TikTokComms: @v_ness, TikTok COO, spent the afternoon meeting with TikTok creators at @VidCon discussing the impact they have on the co…",1540159054915416064,2022-06-24 02:25:08+00:00,Twitter for iPhone,0,10
10,the next 3️⃣ days are all about the creators! who did you come to see? 👀 @VidCon #TikTokVidCon,1540055845039472640,2022-06-23 19:35:00+00:00,Sprinklr Publishing,83,8
11,"from FYP to IRL: cool connections are happening this week @VidCon 😎 
which creators are you most excited to see? 👇 #TikTokVidCon",1539744510414135296,2022-06-22 22:57:53+00:00,Sprinklr Publishing,57,3
12,RT @TikTokComms: Check out the full TikTok @VidCon 2022 Schedule here 👇 https://t.co/3jMabj88Di,1539707081384550400,2022-06-22 20:29:09+00:00,Twitter Web App,0,6
13,RT @VidCon: IT'S #VCUS22 DAY 1!!!!!!!!!!!!!!!!!!!!!!!!!! https://t.co/nsKjpCLSfV,1539706656488972289,2022-06-22 20:27:27+00:00,Twitter Web App,0,18
14,they’re a 10 but they send me TikToks I’ve already seen,1539689697013747712,2022-06-22 19:20:04+00:00,Twitter for iPhone,294,19
15,"@OVOSound @Drake honestly, i’m not gonna sleep tonight",1537588616108441601,2022-06-17 00:11:07+00:00,Twitter for iPhone,20,1
16,"RT @tiktokcreators: “For You, Paige” is now up For Your Emmy® Consideration! Congrats to the incredible team and to our talented group of c…",1537577699962519552,2022-06-16 23:27:45+00:00,Twitter Web App,0,15
17,A #RENAISSANCE IS COMING 🐝 https://t.co/oU57IMYKXv,1537499955442569216,2022-06-16 18:18:49+00:00,Twitter for iPhone,167,23
18,"have you ever wanted to design your own TikTok effect? with the newest version of #EffectHouse, you can now add aud… https://t.co/tCA7v61t68",1537490985168650241,2022-06-16 17:43:10+00:00,Sprinklr Publishing,61,8
19,#TikTokTaughtMe there's still so much to learn 💡🧠  Learn more on TikTok: https://t.co/uAq2jQHkeW https://t.co/78om3IY4rW,1536815897658249219,2022-06-14 21:00:37+00:00,Sprinklr Publishing,96,10
20,what’s something you learned on TikTok that you didn’t learn in college? 👇 https://t.co/40KDr0A1MA,1536771273702842368,2022-06-14 18:03:18+00:00,Twitter Web App,91,7
21,what’s the coolest thing you’ve learned on TikTok? 👀#TikTokTaughtMe,1536477695344771075,2022-06-13 22:36:43+00:00,Sprinklr Publishing,107,5
22,don’t miss out on the fun! join us at the LA Pride Parade by watching @zayaperysian and @alexchapmannn LIVE at 11am… https://t.co/woPhKMYw7Q,1536000380923961348,2022-06-12 15:00:02+00:00,Sprinklr Publishing,72,6
23,Los Angeles! you’re invited to celebrate #Pride with TikTok 😎🌴🏳️‍🌈 join us June 11 &amp; 12  🎉 @lapride #ForYourPride https://t.co/2xJ3kdN2yp,1534992702391173123,2022-06-09 20:15:53+00:00,Sprinklr Publishing,90,12
24,@NBA @YouTubeTV @celtics @warriors not me slowing my scroll to watch the big game 👀,1532517711699267586,2022-06-03 00:21:09+00:00,Twitter for iPhone,12,0
25,what’s your fave self care ritual?,1532439823973089280,2022-06-02 19:11:40+00:00,Twitter Web App,142,15
26,"this #PrideMonth, we’re celebrating the vibrant, diverse and powerful community we’ve built together ❤️🧡💛💚💙💜… https://t.co/2a2oOSQSEX",1532121656549949442,2022-06-01 22:07:23+00:00,Sprinklr Publishing,320,52
27,"hey you
yes, YOU
you make the world a better place - don’t forget it ❤️ #MentalHealthAwarenessMonth",1531696212335796227,2022-05-31 17:56:49+00:00,Sprinklr Publishing,232,41
28,May on TikTok with no context #IYKYK https://t.co/YYOR4Tnwag,1531305181933015040,2022-05-30 16:03:00+00:00,Twitter Web App,193,15
29,"reminder: it’s ok to put your phone down
it’ll be there when you get back 🤗
#MentalHealthAwarenessMonth",1530576631038758913,2022-05-28 15:48:00+00:00,Twitter Web App,279,56
30,RT @Crunchyroll: 🎶 Sharp like an edge of a samurai sword... 🎶 Don't miss the FIRST Crunchyroll TikTok Watch Party with episodes of Samurai…,1529914396742275072,2022-05-26 19:56:31+00:00,Twitter Web App,0,68
31,"what’s one nice thing you can do for yourself today? 💆
#MentalHealthAwarenessMonth",1529157655235018752,2022-05-24 17:49:30+00:00,Sprinklr Publishing,151,16
32,today is a great day to put yourself 1️⃣st  #MentalHealthAwarenessMonth,1528058039156318212,2022-05-21 17:00:01+00:00,Sprinklr Publishing,248,37
33,"your younger self called, they said ur doing great 🤗",1527718670968819712,2022-05-20 18:31:29+00:00,Twitter Web App,749,98
34,if you need me i'll be on HarryTok at #HarrysHouse don't text,1527499354977746949,2022-05-20 04:00:00+00:00,Sprinklr Publishing,170,15
35,asking for help is an act of strength 💪 #MentalHealthAwarenessMonth,1527427058665541632,2022-05-19 23:12:43+00:00,Twitter Web App,229,36
36,these exciting new tools will be rolling out to all of you over the next few weeks 🙌 https://t.co/UVEZR1nE8N,1527029575267495939,2022-05-18 20:53:16+00:00,Twitter Web App,103,10
37,"Stretch 
Eat a snack
Light a candle
Feed your creativity 

Cuddle a pet
Ask for help 
Rest &amp; relax
Exercise
 #MentalHealthAwarenessMonth",1527007365119328260,2022-05-18 19:25:00+00:00,Sprinklr Publishing,159,25
38,"RT @TopGunMovie: TODAY LIVE on TikTok @ 11:30am ET/8:30am PT: Get ready with @JayREllis at the #TopGun: Maverick premiere at Cannes. 
Follo…",1526936229073367040,2022-05-18 14:42:20+00:00,Twitter Web App,0,37
39,take your scroll for a stroll 👟☀️ #MentalHealthAwarenessMonth,1526309264972816387,2022-05-16 21:11:00+00:00,Sprinklr Publishing,197,25
40,"if you’re reading this, you need a glass of water #MentalHealthAwarenessMonth",1525854266656796673,2022-05-15 15:03:00+00:00,Sprinklr Publishing,371,51
